8	97
7077	2.5000	14.01	7.39	1.1667	308.2	0.867	0.0000	Rwanda
327880	20.8667	37.39	2085.69	6.7778	9785.3	27.811	0.0333	Saudi Arabia
2142	1.0750	8.34	2.68	1.2000	247.5	1.156	0.0000	Sierra Leone
37239	5.2667	19.90	771.69	20.8444	14734.1	0.689	0.1556	Singapore
50672	4.0222	13.10	130.80	2.5778	3249.0	0.567	0.3778	South Africa
30020	2.1222	6.50	231.80	7.8000	11064.8	1.067	1.6444	Spain
10500	2.8375	8.39	15.62	1.8444	549.0	1.111	0.0000	Sri Lanka
5852	3.7778	45.00	15.50	2.7444	454.2	9.033	0.1667	Sudan
83218	2.8444	6.23	650.29	7.8111	23056.0	0.311	1.0667	Sweden
239552	2.1111	9.80	783.69	3.3556	37088.8	1.233	0.9111	Switzerland
21672	16.1000	42.91	764.53	33.6111	4529.3	52.178	0.4000	Syria
9456	3.2889	18.46	45.74	4.8667	1413.7	2.144	0.0000	Thailand
4490	2.9000	10.01	9.58	2.1222	328.2	0.467	0.0000	Togo
10537	3.0556	7.92	50.58	4.8444	1654.9	2.567	0.0000	Tunisia
5404	3.9556	19.23	83.19	15.5111	2136.9	6.044	0.6667	Turkey
4023	2.8556	26.19	6.24	1.9111	252.4	10.322	0.0000	Uganda
52491	6.6556	47.57	1474.91	28.1222	21968.5	4.456	0.0444	United Arab Emirates
143410	4.6111	12.13	813.49	5.7000	17826.1	0.700	2.7778	United Kingdom
165847	5.9444	25.18	1518.15	9.1667	25734.9	0.444	5.6333	United States
11969	2.5222	9.49	111.09	9.3000	4484.3	0.744	0.0000	Uruguay
20117	2.1000	8.91	77.70	3.9111	3882.7	2.911	0.0000	Venezuela
4328	10.0250	47.70	75.38	18.7000	737.3	71.544	2.5222	Viet Nam
3327	1.9200	11.84	5.36	1.5556	666.2	5.556	0.0000	Democratic Republic of the Congo
6481	5.8111	14.49	33.18	5.0000	557.1	4.122	0.0000	Zimbabwe
62318	8.2857	14.57	972.24	13.8875	11589.6	3.740	1.5200	Germany,East
19810	5.7222	39.59	417.45	21.3778	7516.2	2.200	0.0000	Taiwan
7930	3.6222	24.02	41.91	5.3000	1209.4	13.089	0.0000	Burma
